City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
0,Pevek,69.7008,170.3133,48.78,64,0,12.59,RU,1659310108
1,Saint Paul Harbor,57.79,-152.4072,62.11,72,100,5.75,US,1659310108
2,Atuona,-9.8,-139.0333,76.87,75,12,14.5,PF,1659310108
3,Hermanus,-34.4187,19.2345,48.78,72,2,6.64,ZA,1659310109
4,Qaanaaq,77.484,-69.3632,46.33,60,66,1.41,GL,1659310109
5,Vaini,-21.2,-175.2,80.76,89,75,8.05,TO,1659310109
6,Mataura,-46.1927,168.8643,43.63,86,24,5.75,NZ,1659310110
7,Hasaki,35.7333,140.8333,90.28,75,98,1.07,JP,1659310110
8,Ushuaia,-54.8,-68.3,38.86,93,40,8.05,AR,1659310110
9,Morden,49.1919,-98.1014,67.86,73,100,12.66,CA,1659310111
10,Flin Flon,54.7682,-101.865,67.84,60,75,9.22,CA,1659309893
11,Katobu,-4.9408,122.5276,75.47,93,77,5.21,ID,1659310111
12,Port Elizabeth,-33.918,25.5701,49.32,84,0,8.05,ZA,1659309946
13,Klaeng,12.7797,101.6483,82.94,100,100,2.24,TH,1659310112
14,Ol'ga,43.7444,135.2892,65.19,99,100,7.67,RU,1659310112
15,Ilulissat,69.2167,-51.1,59.02,41,40,16.11,GL,1659310112
16,Buraidah,26.326,43.975,88.25,49,100,15.28,SA,1659309814
17,Goundam,16.4145,-3.6708,94.87,32,6,7.23,ML,1659310113
18,Dongsheng,39.8161,109.9776,70.86,63,23,12.71,CN,1659310113
19,Hobart,-42.8794,147.3294,51.66,70,75,14.97,AU,1659310072
20,Hofn,64.2539,-15.2082,52.41,62,82,10.38,IS,1659310114
21,Hilo,19.7297,-155.09,85.28,64,40,13.8,US,1659310006
22,Puerto Baquerizo Moreno,-0.9,-89.6,70.47,84,100,11.72,EC,1659310114
23,Punta Arenas,-53.15,-70.9167,42.12,75,100,11.23,CL,1659310114
24,Butaritari,3.0707,172.7902,81.34,78,58,13.89,KI,1659310115
25,Cherskiy,68.75,161.3,67.95,41,17,19.24,RU,1659309859
26,Padang,-0.9492,100.3543,77.41,86,100,3.29,ID,1659310115
27,Port Alfred,-33.5906,26.891,53.08,73,18,11.52,ZA,1659310115
28,Nanortalik,60.1432,-45.2371,47.23,91,70,7.31,GL,1659310116
29,Suwannaphum,15.6035,103.8021,79.86,86,99,1.36,TH,1659310116
30,Castro,-24.7911,-50.0119,53.8,75,0,1.41,BR,1659310116
31,Bredasdorp,-34.5322,20.0403,42.51,83,3,3.65,ZA,1659310117
32,Puerto Ayora,-0.7393,-90.3518,72.55,88,85,5.99,EC,1659310117
33,Ostrovnoy,68.0531,39.5131,56.1,79,87,5.35,RU,1659310117
34,Narasapuram,16.45,81.6667,80.94,86,100,3.8,IN,1659310118
35,Durgapur,23.4833,87.3167,82.78,79,100,3.22,IN,1659310118
36,Ribeira Grande,38.5167,-28.7,74.12,73,16,2.91,PT,1659309854
37,College,64.8569,-147.8028,64.38,80,75,4.61,US,1659310118
38,Mongo,12.1844,18.693,75.92,81,96,5.3,TD,1659310119
39,Itupiranga,-5.1347,-49.3267,79.12,79,99,1.66,BR,1659310119
40,Togur,58.3631,82.8265,54.95,65,100,12.37,RU,1659310119
41,Mar del Plata,-38.0023,-57.5575,55.94,84,0,8.99,AR,1659310119
42,Yangi Marg`ilon,40.4272,71.7189,77.72,36,100,4.61,UZ,1659310120
43,Cabo San Lucas,22.8909,-109.9124,88.11,72,40,8.05,MX,1659309886
44,Thompson,55.7435,-97.8558,59.16,88,100,9.22,CA,1659310120
45,Waipawa,-41.4122,175.5153,47.19,70,3,2.37,NZ,1659310121
46,Kavieng,-2.5744,150.7967,83.55,73,94,13.6,PG,1659310121
47,George Town,5.4112,100.3354,81.9,87,40,5.75,MY,1659309843
48,Port Hedland,-20.3167,118.5667,62.65,67,28,5.75,AU,1659309985
49,Lebu,-37.6167,-73.65,47.01,83,95,5.3,CL,1659309836
50,Turukhansk,65.8167,87.9833,46.4,76,99,14.99,RU,1659309916
51,Dikson,73.5069,80.5464,40.87,94,100,14.58,RU,1659310182
52,Tuatapere,-46.1333,167.6833,44.17,85,84,8.12,NZ,1659310182
53,Albany,42.6001,-73.9662,79.52,61,99,4.29,US,1659310183
54,Cairns,-16.9167,145.7667,75.07,83,100,9.22,AU,1659309915
55,Haines Junction,60.7522,-137.5108,64.35,59,95,6.91,CA,1659310183
56,Segovia,41.1667,-4.0,77.43,34,0,7.11,ES,1659310183
57,Pak Phanang,8.3511,100.202,80.62,86,100,8.81,TH,1659310184
58,Rikitea,-23.1203,-134.9692,72.18,74,100,22.57,PF,1659310184
59,Marzuq,14.4,46.4667,78.73,58,2,15.08,YE,1659310184
60,Busselton,-33.65,115.3333,57.24,91,88,29.62,AU,1659310185
61,Upernavik,72.7868,-56.1549,50.41,66,96,1.12,GL,1659310185
62,Kyaikto,17.3,97.0167,78.19,90,100,4.34,MM,1659310185
63,Ponta Delgada,37.7333,-25.6667,72.32,83,75,2.3,PT,1659310186
64,Torbay,47.6666,-52.7314,70.57,77,20,19.57,CA,1659310186
65,São João da Barra,-21.6403,-41.0511,67.42,71,2,6.87,BR,1659310187
66,Sinnamary,5.3833,-52.95,78.87,84,46,6.44,GF,1659310187
67,Sørland,67.667,12.6934,53.46,87,98,10.49,NO,1659310187
68,Springdale,36.1867,-94.1288,87.57,80,0,10.36,US,1659310160
69,Paamiut,61.994,-49.6678,46.35,85,78,7.63,GL,1659310188
70,Cidreira,-30.1811,-50.2056,59.23,87,89,9.8,BR,1659310188
71,Airai,-8.9266,125.4092,60.4,87,61,2.77,TL,1659309908
72,Tongliao,43.6125,122.2653,77.47,76,0,8.19,CN,1659310088
73,Yeppoon,-23.1333,150.7333,62.38,78,99,8.21,AU,1659309906
74,Wamba,8.9333,8.6,70.38,96,65,1.45,NG,1659310189
75,Acapulco de Juárez,16.8634,-99.8901,87.62,66,40,13.8,MX,1659310189
76,Tarakan,3.3,117.6333,76.5,94,40,2.3,ID,1659309904
77,Nikolskoye,59.7035,30.7861,59.81,82,100,3.6,RU,1659310189
78,East London,-33.0153,27.9116,54.77,63,5,8.5,ZA,1659310162
79,Chokurdakh,70.6333,147.9167,70.77,47,100,12.46,RU,1659310190
80,Arcata,40.8665,-124.0828,80.67,80,100,5.75,US,1659310190
81,Winnemucca,40.973,-117.7357,102.25,6,0,0.0,US,1659310191
82,Parāsia,22.2,78.7667,72.12,90,98,5.28,IN,1659310191
83,Jiuquan,39.7432,98.5174,71.28,38,52,4.56,CN,1659310191
84,Derzhavīnsk,51.1,66.3167,64.74,73,73,6.89,KZ,1659310192
85,Lingyuan,41.24,119.4011,74.77,82,0,2.98,CN,1659310192
86,Glenwood Springs,39.5505,-107.3248,90.52,44,75,0.0,US,1659310193
87,Arraial do Cabo,-22.9661,-42.0278,68.5,66,0,9.28,BR,1659310193
88,Bengkulu,-3.8004,102.2655,74.91,88,91,4.54,ID,1659310193
89,Bărcăneşti,44.8833,26.05,69.49,84,39,0.54,RO,1659310194
90,Khatanga,71.9667,102.5,44.76,73,100,7.99,RU,1659310194
91,Cape Town,-33.9258,18.4232,53.91,80,0,8.99,ZA,1659310143
